RadViz_X,RadViz_Y,Obj_DeltaW_BGA,Obj_DeltaW_bump,Obj_ELK_stress,Obj_Warpage_Post_UF_cure,Obj_Warpage_post_lid_atach,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
0.35470627404954497,0.19525952318047887,0.0037568318657577038,0.027410369366407394,9.558377265930176,-0.03501364588737488,0.12750013172626495,0.25,0.06,0.125,6.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC405,SAC405
-0.08735839038197789,0.20311741951383083,0.051564909517765045,0.09230215102434158,4.704348087310791,-0.017247188836336136,0.014030242338776588,0.75,0.06,0.125,3.0,2.0,3e-06,1.2,2.5e-05,1.0,SAC305,SAC105,SAC205
0.08533356895869967,0.38684102288273153,0.009281991049647331,0.000768716970924288,4.995889663696289,-0.032501548528671265,0.17609506845474243,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC105,SAC305
0.07490619101642107,0.17397573497030522,0.04374930262565613,0.0,6.72126579284668,-0.018826739862561226,0.0077444217167794704,0.75,0.06,0.125,6.0,1.5,3e-06,1.2,2e-05,1.5,SAC305,SAC205,SAC205
0.13212678566935063,-0.3163093739706697,0.0,0.4596497118473053,10.117753028869629,-0.08683131635189056,0.05429618060588837,0.25,0.02,0.125,9.0,2.0,6e-06,0.4,2.5e-05,1.0,SAC405,SAC405,SAC405
0.09257767684337789,0.16888564063174163,0.04086250811815262,0.0034864621702581644,6.72126579284668,-0.018826739862561226,0.0077444217167794704,0.75,0.06,0.125,6.0,1.5,3e-06,1.2,2e-05,1.0,SAC305,SAC205,SAC205
0.021988180372274704,0.17608564573468802,0.035311393439769745,0.10622108727693558,4.704348087310791,-0.017247188836336136,0.014030242338776588,0.75,0.06,0.125,3.0,2.0,3e-06,1.2,2.5e-05,1.5,SAC205,SAC105,SAC305
-0.0770591987992013,0.2169371311405003,0.016168711706995964,0.06644673645496368,4.570540904998779,-0.06447908282279968,0.1470618098974228,0.25,0.06,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC305,SAC105,SAC105
0.08396681526033667,-0.32404020492121793,0.001936677610501647,0.5177688002586365,8.83493423461914,-0.08197586983442307,0.023671887814998627,0.25,0.02,0.125,3.0,2.0,9e-06,0.4,3e-05,2.0,SAC405,SAC305,SAC405
0.1363778464642811,-0.22248277937047126,0.0008012040052562952,0.31407618522644043,10.087591171264648,-0.08797044306993484,0.051760077476501465,0.25,0.02,0.125,9.0,2.0,6e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC205
-0.039773788850323136,0.11434142398289059,0.004278087988495827,0.13363872468471527,5.619803428649902,-0.08195283263921738,0.14888203144073486,0.25,0.06,0.125,9.0,1.0,6e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC405
