Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,Obj_ELK_stress_x,Obj_Warpage_Post_UF_cure_x,Obj_Warpage_post_lid_atach_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Obj_ELK_stress_y,Obj_Warpage_Post_UF_cure_y,Obj_Warpage_post_lid_atach_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
195,0.0066999755799770355,0.19337351620197296,5.308356285095215,-0.06400568783283234,0.00566154345870018,-52.79999999999961,374,0.032006408514148654,-0.021791068883202633,0.0066999755799770355,0.19337351620197296,5.308356285095215,-0.06400568783283234,0.00566154345870018,0.25,0.04,0.125,9.0,1.0,3e-06,0.4,2.5e-05,1.0,SAC305,SAC105,SAC105
467,0.0,0.22883941233158112,5.946685314178467,-0.08341868221759796,0.04919152334332466,-53.39999999999992,375,0.010096744280138806,-0.045433376049064805,0.0,0.22883941233158112,5.946685314178467,-0.08341868221759796,0.04919152334332466,0.25,0.06,0.125,9.0,2.0,9e-06,0.4,2.5e-05,1.0,SAC305,SAC205,SAC205
408,0.0,0.22883941233158112,5.946685314178467,-0.08341868221759796,0.04919152334332466,-53.39999999999992,376,0.010096744280138806,-0.045433376049064805,0.0,0.22883941233158112,5.946685314178467,-0.08341868221759796,0.04919152334332466,0.25,0.06,0.125,9.0,2.0,9e-06,0.4,2.5e-05,1.0,SAC305,SAC205,SAC205
328,0.0,0.13556279242038727,7.896396636962891,-0.08307552337646484,0.03144874796271324,-53.549999999999784,377,0.09180115265225264,-0.07021185241797566,0.0,0.13556279242038727,7.896396636962891,-0.08307552337646484,0.03144874796271324,0.25,0.04,0.125,3.0,2.0,6e-06,0.4,2e-05,1.0,SAC305,SAC305,SAC205
493,0.004987915977835655,0.11736968904733658,5.678564548492432,-0.08249269425868988,0.06594070047140121,-53.59999999999968,378,-0.009933739868134516,0.024753368492544784,0.004987915977835655,0.11736968904733658,5.678564548492432,-0.08249269425868988,0.06594070047140121,0.25,0.06,0.125,9.0,2.0,6e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC205
191,0.0,0.11430530995130539,8.280056953430176,-0.0863431990146637,0.03979836776852608,-53.7000000000001,379,0.09512128280670017,-0.06855238425054884,0.0,0.11430530995130539,8.280056953430176,-0.0863431990146637,0.03979836776852608,0.25,0.06,0.125,9.0,2.0,9e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC205
369,0.014403972774744034,0.10127507895231247,5.296052932739258,-0.06466106325387955,0.015008093789219856,-54.999999999998636,380,0.002103517335909076,0.024943918932115533,0.014403972774744034,0.10127507895231247,5.296052932739258,-0.06466106325387955,0.015008093789219856,0.25,0.04,0.125,9.0,1.0,3e-06,0.4,2e-05,2.0,SAC305,SAC105,SAC305
448,0.0,0.22205540537834167,4.619954586029053,-0.032895222306251526,0.0027857006061822176,-55.10000000000019,381,0.13508464380085852,0.045603813797985136,0.0,0.22205540537834167,4.619954586029053,-0.032895222306251526,0.0027857006061822176,0.5,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC405,SAC105,SAC105
362,0.000974631286226213,0.14990049600601196,4.486625671386719,-0.0672522783279419,0.0825284942984581,-55.999999999999886,382,0.004358364292494323,0.08709163753168939,0.000974631286226213,0.14990049600601196,4.486625671386719,-0.0672522783279419,0.0825284942984581,0.25,0.06,0.125,6.0,1.0,6e-06,0.4,2e-05,1.5,SAC205,SAC105,SAC305
246,0.00510149821639061,0.13102899491786957,4.761618614196777,-0.03250151127576828,0.0012351252371445298,-56.099999999999284,383,0.12725631192040987,0.08041654699560172,0.00510149821639061,0.13102899491786957,4.761618614196777,-0.03250151127576828,0.0012351252371445298,0.75,0.06,0.125,3.0,2.0,9e-06,1.2,2e-05,1.0,SAC205,SAC105,SAC305
341,0.0,0.26362961530685425,5.7539472579956055,-0.0774451345205307,0.027751881629228592,-56.14999999999975,384,0.02331250003885214,-0.06534402540886886,0.0,0.26362961530685425,5.7539472579956055,-0.0774451345205307,0.027751881629228592,0.25,0.06,0.125,6.0,2.0,6e-06,0.4,3e-05,1.5,SAC205,SAC205,SAC205
443,0.0,0.26362961530685425,5.7539472579956055,-0.0774451345205307,0.027751881629228592,-56.14999999999975,385,0.02331250003885214,-0.06534402540886886,0.0,0.26362961530685425,5.7539472579956055,-0.0774451345205307,0.027751881629228592,0.25,0.06,0.125,6.0,2.0,6e-06,0.4,3e-05,1.5,SAC205,SAC205,SAC205
208,0.0008032374316826463,0.21134671568870544,4.619954586029053,-0.032895222306251526,0.0027857006061822176,-56.30000000000018,386,0.13241057379103163,0.0502614329302843,0.0008032374316826463,0.21134671568870544,4.619954586029053,-0.032895222306251526,0.0027857006061822176,0.5,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC405,SAC105,SAC405
304,0.0008032374316826463,0.21134671568870544,4.619954586029053,-0.032895222306251526,0.0027857006061822176,-56.30000000000018,387,0.13241057379103163,0.0502614329302843,0.0008032374316826463,0.21134671568870544,4.619954586029053,-0.032895222306251526,0.0027857006061822176,0.5,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC405,SAC105,SAC405
204,0.003985643852502108,0.0,5.218256950378418,-0.01851174607872963,0.019428817555308342,-56.39999999999975,388,0.20683484707577096,0.18072049098841156,0.003985643852502108,0.0,5.218256950378418,-0.01851174607872963,0.019428817555308342,0.25,0.06,0.125,3.0,1.5,3e-06,1.2,2e-05,1.5,SAC405,SAC105,SAC105
170,0.003985643852502108,0.0,5.218256950378418,-0.01851174607872963,0.019428817555308342,-56.39999999999975,389,0.20683484707577096,0.18072049098841156,0.003985643852502108,0.0,5.218256950378418,-0.01851174607872963,0.019428817555308342,0.25,0.06,0.125,3.0,1.5,3e-06,1.2,2e-05,1.5,SAC405,SAC105,SAC105
27,0.0,0.25984758138656616,5.069807529449463,-0.05702168866991997,0.010579017922282219,-57.65000000000009,390,0.06682226645375172,-0.024826815224737692,0.0,0.25984758138656616,5.069807529449463,-0.05702168866991997,0.010579017922282219,0.5,0.06,0.125,3.0,1.5,3e-06,0.4,2.5e-05,1.0,SAC405,SAC105,SAC405
163,0.0,0.25984758138656616,5.069807529449463,-0.05702168866991997,0.010579017922282219,-57.65000000000009,391,0.06682226645375172,-0.024826815224737692,0.0,0.25984758138656616,5.069807529449463,-0.05702168866991997,0.010579017922282219,0.5,0.06,0.125,3.0,1.5,3e-06,0.4,2.5e-05,1.0,SAC405,SAC105,SAC405
432,0.0,0.15354962646961212,7.242757320404053,-0.08433161675930023,0.040378157049417496,-57.749999999999886,392,0.06125903837257157,-0.055225637911847834,0.0,0.15354962646961212,7.242757320404053,-0.08433161675930023,0.040378157049417496,0.25,0.04,0.125,6.0,2.0,9e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC205
427,0.006858492270112038,0.11251478642225266,4.761618614196777,-0.03250151127576828,0.0012351252371445298,-58.549999999998704,393,0.12106730002720724,0.08849374797642663,0.006858492270112038,0.11251478642225266,4.761618614196777,-0.03250151127576828,0.0012351252371445298,0.75,0.06,0.125,3.0,2.0,9e-06,1.2,2e-05,1.5,SAC205,SAC105,SAC105
229,0.002759614260867238,0.21842002868652344,5.308356285095215,-0.06400568783283234,0.00566154345870018,-58.95000000000033,394,0.04714438593964073,-0.03188440080233469,0.002759614260867238,0.21842002868652344,5.308356285095215,-0.06400568783283234,0.00566154345870018,0.25,0.04,0.125,9.0,1.0,3e-06,0.4,2.5e-05,1.0,SAC405,SAC105,SAC105
462,0.0133739672601223,0.06770724058151245,5.595439910888672,-0.0685865730047226,0.02508225291967392,-59.14999999999878,395,0.006519947835257624,0.0339614962131957,0.0133739672601223,0.06770724058151245,5.595439910888672,-0.0685865730047226,0.02508225291967392,0.25,0.06,0.125,9.0,2.0,3e-06,0.4,2e-05,1.0,SAC305,SAC205,SAC305
395,0.0,0.1304037719964981,6.02032995223999,-0.03196217492222786,-0.009731580503284931,-59.15000000000043,396,0.20344122813055004,0.04017140811369544,0.0,0.1304037719964981,6.02032995223999,-0.03196217492222786,-0.009731580503284931,0.25,0.04,0.125,9.0,1.5,9e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC305
126,0.0,0.1304037719964981,6.02032995223999,-0.03196217492222786,-0.009731580503284931,-59.15000000000043,397,0.20344122813055004,0.04017140811369544,0.0,0.1304037719964981,6.02032995223999,-0.03196217492222786,-0.009731580503284931,0.25,0.04,0.125,9.0,1.5,9e-06,1.2,2e-05,1.0,SAC305,SAC105,SAC305
299,0.00014735937293153256,0.0,6.7930121421813965,-0.03246992453932762,0.020866310223937035,-59.95000000000067,398,0.23641702059604308,0.11198824974631973,0.00014735937293153256,0.0,6.7930121421813965,-0.03246992453932762,0.020866310223937035,0.25,0.06,0.125,3.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC205,SAC405
309,0.0,0.14156386256217957,7.439516544342041,-0.07829149067401886,0.026288380846381187,-59.99999999999949,399,0.0913803168865249,-0.05740850174706092,0.0,0.14156386256217957,7.439516544342041,-0.07829149067401886,0.026288380846381187,0.5,0.06,0.125,3.0,1.5,9e-06,0.4,2e-05,1.5,SAC405,SAC305,SAC205
132,0.0,0.14156386256217957,7.439516544342041,-0.07829149067401886,0.026288380846381187,-59.99999999999949,400,0.0913803168865249,-0.05740850174706092,0.0,0.14156386256217957,7.439516544342041,-0.07829149067401886,0.026288380846381187,0.5,0.06,0.125,3.0,1.5,9e-06,0.4,2e-05,1.5,SAC405,SAC305,SAC205
484,0.010817442089319229,0.11026409268379211,5.296052932739258,-0.06466106325387955,0.015008093789219856,-60.349999999999056,401,0.01790865261965408,0.02093493087816872,0.010817442089319229,0.11026409268379211,5.296052932739258,-0.06466106325387955,0.015008093789219856,0.25,0.04,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC405,SAC105,SAC405
259,0.010817442089319229,0.11026409268379211,5.296052932739258,-0.06466106325387955,0.015008093789219856,-60.349999999999056,402,0.01790865261965408,0.02093493087816872,0.010817442089319229,0.11026409268379211,5.296052932739258,-0.06466106325387955,0.015008093789219856,0.25,0.04,0.125,9.0,1.0,3e-06,0.4,2e-05,1.0,SAC405,SAC105,SAC405
382,0.0028685464058071375,0.14080694317817688,4.761618614196777,-0.03250151127576828,0.0012351252371445298,-60.59999999999951,403,0.1361997778652397,0.07565607770913603,0.0028685464058071375,0.14080694317817688,4.761618614196777,-0.03250151127576828,0.0012351252371445298,0.75,0.06,0.125,3.0,2.0,9e-06,1.2,2e-05,1.5,SAC405,SAC105,SAC105
313,0.0,0.23712094128131866,6.504098892211914,-0.07814845442771912,0.017744485288858414,-60.84999999999991,404,0.0519923355654264,-0.083630752169967,0.0,0.23712094128131866,6.504098892211914,-0.07814845442771912,0.017744485288858414,0.25,0.06,0.125,3.0,2.0,6e-06,0.4,3e-05,1.0,SAC205,SAC305,SAC205
456,0.0038604235742241144,0.19690591096878052,4.741269588470459,-0.06067469343543053,0.016502277925610542,-62.099999999999795,405,0.03260867753857783,0.007692567362434413,0.0038604235742241144,0.19690591096878052,4.741269588470459,-0.06067469343543053,0.016502277925610542,0.25,0.06,0.125,3.0,1.0,3e-06,0.4,2.5e-05,1.0,SAC305,SAC105,SAC405
122,0.0010131290182471275,0.20161356031894684,6.484744548797607,-0.07708919048309326,0.02247621677815914,-63.64999999999992,406,0.05256102799343345,-0.0613704340842927,0.0010131290182471275,0.20161356031894684,6.484744548797607,-0.07708919048309326,0.02247621677815914,0.5,0.06,0.125,6.0,1.5,9e-06,0.4,2e-05,1.5,SAC405,SAC205,SAC205
166,0.0,0.18451015651226044,6.481481075286865,-0.07080037891864777,0.015568551607429981,-65.15000000000077,407,0.07967301230188935,-0.048633082904452556,0.0,0.18451015651226044,6.481481075286865,-0.07080037891864777,0.015568551607429981,0.5,0.04,0.125,3.0,1.5,9e-06,0.4,2e-05,1.0,SAC305,SAC105,SAC205
258,0.005674036219716072,0.2255483865737915,4.746841907501221,-0.07030496001243591,0.017105411738157272,-65.75,408,-0.006595627774398196,-0.02277679722902763,0.005674036219716072,0.2255483865737915,4.746841907501221,-0.07030496001243591,0.017105411738157272,0.25,0.06,0.125,3.0,2.0,9e-06,0.4,2.5e-05,1.0,SAC405,SAC105,SAC205
231,0.003666405100375414,0.21284668147563934,4.645512104034424,-0.06441159546375275,0.018846388906240463,-66.49999999999994,409,0.017079366972415088,-0.0018121724201925914,0.003666405100375414,0.21284668147563934,4.645512104034424,-0.06441159546375275,0.018846388906240463,0.25,0.06,0.125,3.0,2.0,6e-06,0.4,2.5e-05,2.0,SAC205,SAC105,SAC405
295,0.0038604235742241144,0.19690591096878052,4.742005825042725,-0.06067469343543053,0.0109510263428092,-69.79999999999967,410,0.0342683385285188,0.00200206466376921,0.0038604235742241144,0.19690591096878052,4.742005825042725,-0.06067469343543053,0.0109510263428092,0.25,0.06,0.125,3.0,1.5,3e-06,0.4,2.5e-05,1.0,SAC305,SAC105,SAC405
83,0.0016426751390099525,0.15417781472206116,5.678564548492432,-0.08249269425868988,0.06594070047140121,-69.84999999999911,411,0.0008721728140322532,0.009928039922797437,0.0016426751390099525,0.15417781472206116,5.678564548492432,-0.08249269425868988,0.06594070047140121,0.25,0.06,0.125,9.0,2.0,6e-06,0.4,2e-05,1.5,SAC205,SAC205,SAC405
330,0.0005257072043605149,0.16582033038139343,4.968866348266602,-0.03250151127576828,0.000991360517218709,-70.55000000000075,412,0.15253400060466188,0.060098665019392816,0.0005257072043605149,0.16582033038139343,4.968866348266602,-0.03250151127576828,0.000991360517218709,0.75,0.06,0.125,3.0,1.5,9e-06,1.2,2e-05,1.5,SAC305,SAC105,SAC305
384,0.00014735937293153256,0.0,5.073391914367676,-0.03069571778178215,0.05028007552027702,-71.90000000000083,413,0.16755837156022385,0.18510324655113883,0.00014735937293153256,0.0,5.073391914367676,-0.03069571778178215,0.05028007552027702,0.25,0.06,0.125,3.0,1.0,3e-06,0.8,2e-05,1.0,SAC405,SAC105,SAC405
469,0.00014735937293153256,0.0,5.073391914367676,-0.03069571778178215,0.05028007552027702,-71.90000000000083,414,0.16755837156022385,0.18510324655113883,0.00014735937293153256,0.0,5.073391914367676,-0.03069571778178215,0.05028007552027702,0.25,0.06,0.125,3.0,1.0,3e-06,0.8,2e-05,1.0,SAC405,SAC105,SAC405
413,0.0,0.16666226089000702,4.756397724151611,-0.03207292780280113,0.0041479566134512424,-72.05000000000058,415,0.14729448802390258,0.06881776564586216,0.0,0.16666226089000702,4.756397724151611,-0.03207292780280113,0.0041479566134512424,0.25,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC405,SAC105,SAC405
275,0.0,0.0350380502641201,6.774709224700928,-0.06744881719350815,0.051003437489271164,-73.89999999999975,416,0.10614843360211661,0.04932157997224419,0.0,0.0350380502641201,6.774709224700928,-0.06744881719350815,0.051003437489271164,0.25,0.06,0.125,3.0,2.0,3e-06,0.4,2e-05,1.0,SAC405,SAC305,SAC405
255,0.0,0.23712094128131866,5.597811222076416,-0.07708144187927246,0.026677971705794334,-74.84999999999962,417,0.022920548921258905,-0.05038982887920763,0.0,0.23712094128131866,5.597811222076416,-0.07708144187927246,0.026677971705794334,0.25,0.06,0.125,3.0,2.0,6e-06,0.4,3e-05,1.0,SAC205,SAC205,SAC205
88,0.013389570638537407,0.06256914138793945,4.991647243499756,-0.059538476169109344,0.012226935476064682,-75.29999999999899,418,0.017642021759538468,0.054655509336437896,0.013389570638537407,0.06256914138793945,4.991647243499756,-0.059538476169109344,0.012226935476064682,0.5,0.06,0.125,3.0,1.5,3e-06,0.4,2e-05,1.5,SAC305,SAC105,SAC405
