Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Cu-pillar bump solder material
306,0.003654878120869398,0.054586805403232574,45.625,44,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
289,0.003654878120869398,0.054586805403232574,45.625,45,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
344,0.003654878120869398,0.054586805403232574,45.625,46,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
346,0.003654878120869398,0.054586805403232574,45.625,47,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
8,0.003654878120869398,0.054586805403232574,45.625,48,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
11,0.003654878120869398,0.054586805403232574,45.625,49,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
382,0.003654878120869398,0.054586805403232574,45.625,50,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
336,0.003654878120869398,0.054586805403232574,45.625,51,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
366,0.003654878120869398,0.054586805403232574,45.625,52,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
323,0.003654878120869398,0.054586805403232574,45.625,53,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
225,0.003654878120869398,0.054586805403232574,45.625,54,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
394,0.003654878120869398,0.054586805403232574,45.625,55,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
386,0.003654878120869398,0.054586805403232574,45.625,56,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
392,0.003654878120869398,0.054586805403232574,45.625,57,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
195,0.003654878120869398,0.054586805403232574,45.625,58,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
202,0.003654878120869398,0.054586805403232574,45.625,59,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
395,0.003654878120869398,0.054586805403232574,45.625,60,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
377,0.003654878120869398,0.054586805403232574,45.625,61,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
204,0.003654878120869398,0.054586805403232574,45.625,62,-0.3154995152746332,8.055111353304873e-17,0.003654878120869398,0.054586805403232574,0.5,0.06,0.125,9.0,6e-06,1.2,2e-05,1.5,SAC205,SAC305
108,0.0032726440113037825,0.060212548822164536,42.75,63,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
91,0.0032726440113037825,0.060212548822164536,42.75,64,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
113,0.0032726440113037825,0.060212548822164536,42.75,65,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
426,0.0032726440113037825,0.060212548822164536,42.75,66,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
436,0.0032726440113037825,0.060212548822164536,42.75,67,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
118,0.0032726440113037825,0.060212548822164536,42.75,68,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
473,0.0032726440113037825,0.060212548822164536,42.75,69,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
7,0.0032726440113037825,0.060212548822164536,42.75,70,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
10,0.0032726440113037825,0.060212548822164536,42.75,71,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
351,0.0032726440113037825,0.060212548822164536,42.75,72,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
266,0.0032726440113037825,0.060212548822164536,42.75,73,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
233,0.0032726440113037825,0.060212548822164536,42.75,74,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
240,0.0032726440113037825,0.060212548822164536,42.75,75,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
286,0.0032726440113037825,0.060212548822164536,42.75,76,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
241,0.0032726440113037825,0.060212548822164536,42.75,77,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
213,0.0032726440113037825,0.060212548822164536,42.75,78,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
122,0.0032726440113037825,0.060212548822164536,42.75,79,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
448,0.0032726440113037825,0.060212548822164536,42.75,80,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
102,0.0032726440113037825,0.060212548822164536,42.75,81,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
171,0.0032726440113037825,0.060212548822164536,42.75,82,-0.02147016172065998,6.254700819878678e-17,0.0032726440113037825,0.060212548822164536,0.25,0.06,0.125,9.0,6e-06,1.2,2.5e-05,1.5,SAC205,SAC305
