Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.5,0.02,0.8,9e-06,3e-05,9,2.0,SAC105,SAC305,0.6363000373045581,0.0014242484751321198
0.125,0.25,0.02,0.8,9e-06,2e-05,3,1.5,SAC105,SAC305,0.5089742938677471,0.004108893132070031
0.125,0.75,0.02,0.4,6e-06,2e-05,9,2.0,SAC405,SAC105,0.61086577177047,0.0156452420633287
0.125,0.5,0.06,1.2,9e-06,3e-05,9,2.0,SAC205,SAC405,0.39728507399558993,0.009198267711326497
0.125,0.25,0.04,0.8,9e-06,2e-05,6,1.5,SAC205,SAC105,0.284586802124977,0.0107952202961314
0.125,0.5,0.06,0.4,3e-06,2e-05,9,1.5,SAC105,SAC205,0.247228436172008,0.0289239556295798
0.125,0.5,0.04,1.2,3e-06,2.5e-05,9,1.5,SAC105,SAC205,0.18595385551452603,0.0676104496233157
0.125,0.75,0.06,0.8,3e-06,2e-05,3,1.5,SAC305,SAC305,0.09389145299792301,0.013878657075110802
0.125,0.5,0.02,1.2,9e-06,3e-05,9,2.0,SAC405,SAC305,0.9672624468803319,0.0260855781380087
0.125,0.75,0.06,0.8,6e-06,3e-05,3,1.0,SAC305,SAC205,0.263358548283577,0.00282628592321998
0.125,0.75,0.06,0.4,9e-06,3e-05,6,2.0,SAC205,SAC405,0.38204538077116007,0.0083498448948376
0.125,0.75,0.04,0.8,9e-06,2.5e-05,9,2.0,SAC405,SAC205,0.32144695520401007,0.0012666289203480102
0.125,0.5,0.02,0.4,6e-06,2e-05,3,1.0,SAC105,SAC205,0.505161677797635,0.0030903317601769205
0.125,0.75,0.04,0.4,9e-06,2e-05,9,1.0,SAC405,SAC405,0.19357721507549303,0.0024833566749293797
0.125,0.75,0.02,0.8,6e-06,2e-05,9,2.0,SAC105,SAC105,0.4364661226669951,0.0225808129180222
0.125,0.75,0.02,0.4,3e-06,3e-05,6,1.5,SAC305,SAC405,0.71742435296376,0.0049834501114674
0.125,0.75,0.04,1.2,3e-06,2.5e-05,9,1.5,SAC405,SAC205,0.133743301033973,0.0629771514795712
0.125,0.75,0.02,0.4,9e-06,2.5e-05,3,1.5,SAC405,SAC405,0.48317992687225403,0.0024739694345044
0.125,0.75,0.02,0.8,3e-06,2.5e-05,3,1.5,SAC205,SAC305,0.367590342958768,0.013480265159159902
0.125,0.75,0.06,0.8,6e-06,2.5e-05,9,1.5,SAC305,SAC305,0.22080850973725302,0.009741554706124601
0.125,0.25,0.06,0.8,6e-06,3e-05,6,1.5,SAC105,SAC105,0.279075387865305,0.009657482922193601
0.125,0.75,0.02,0.4,6e-06,2e-05,9,1.0,SAC105,SAC205,0.44355841974417404,0.009524816923658301
0.125,0.5,0.04,1.2,9e-06,3e-05,3,1.0,SAC205,SAC305,0.381940096616745,0.0013032051938353098
0.125,0.5,0.02,1.2,6e-06,2e-05,6,2.0,SAC305,SAC105,0.315769508481026,0.015280741616152203
0.125,0.5,0.04,0.8,3e-06,2.5e-05,3,2.0,SAC205,SAC205,0.484721451997757,0.209552859887481
0.125,0.5,0.06,1.2,3e-06,2e-05,9,1.5,SAC205,SAC405,0.09502555802464502,0.040156287606805396
0.125,0.75,0.04,1.2,9e-06,2e-05,6,2.0,SAC405,SAC205,0.216431774199009,0.0029524873025366105
0.125,0.5,0.04,0.8,3e-06,2.5e-05,9,2.0,SAC305,SAC305,0.20773173868656097,0.013003873755223997
0.125,0.25,0.04,1.2,9e-06,2e-05,9,1.5,SAC105,SAC305,0.262504644691944,0.006069745519198399
0.125,0.25,0.02,0.8,3e-06,2.5e-05,3,1.0,SAC405,SAC305,0.568784132599822,0.0777118252590299
