Design_ID,Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,DeltaW_BGA,DeltaW_bump
43,0.125,0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405,SAC405,9.09205146781787,-0.032980936433887,0.0221106125391088,0.310776174068451,0.0192754894960671
44,0.125,0.5,0.06,0.8,3e-06,2.5e-05,3,1.0,SAC205,SAC305,6.78129560235096,-0.0316078694013412,0.0302016747882589,0.325251206755638,0.0205587215023115
45,0.125,0.5,0.02,0.8,3e-06,2.5e-05,3,1.5,SAC205,SAC105,10.1440300648868,-0.0329995309002697,0.028176630847156,0.197957959026098,0.1256461404263969
46,0.125,0.5,0.04,1.2,3e-06,3e-05,3,2.0,SAC405,SAC305,11.2348830175258,-0.0208328062435611,0.0172299577970988,0.4007280394434929,0.0033225591760128
47,0.125,0.5,0.04,0.4,3e-06,2.5e-05,9,1.5,SAC105,SAC405,6.07763432113941,-0.0559538667148444,0.1214911304414272,0.3335413634777069,0.0076868228788953
48,0.125,0.75,0.06,1.2,3e-06,2e-05,9,1.0,SAC205,SAC205,6.88250741751118,-0.0189318399643525,0.1014592032879589,0.247808743268251,0.0213879714719951
49,0.125,0.25,0.02,1.2,6e-06,2.5e-05,6,2.0,SAC305,SAC105,10.3787205859897,-0.0262041186797431,0.0625696163624524,0.4801819622516631,0.0995616773143404
50,0.125,0.25,0.04,1.2,6e-06,2.5e-05,9,1.5,SAC105,SAC105,6.1602075041976,-0.0281185361091046,0.0314090518513693,0.2363201081752779,0.028983228141442
51,0.125,0.25,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC405,SAC405,8.55468028327698,-0.0859814307623309,0.0898363087326288,0.108601652085781,0.016765377309639
52,0.125,0.75,0.02,0.8,9e-06,2.5e-05,6,1.0,SAC105,SAC405,7.33846834435655,-0.0359190037124789,0.0271672228118404,0.379960551857948,0.0010835458684823
53,0.125,0.5,0.06,1.2,6e-06,3e-05,9,1.5,SAC305,SAC105,7.90443269788008,-0.0291718534717801,0.0342602040618657,0.204542804509402,0.1297562289983029
54,0.125,0.5,0.04,0.4,3e-06,3e-05,3,1.5,SAC105,SAC405,6.07788015113509,-0.0547065178980119,0.0161960479745174,0.295155182480812,0.0008173282617178
55,0.125,0.5,0.02,0.4,9e-06,3e-05,9,1.5,SAC405,SAC205,10.9254515332748,-0.0803405226033645,0.1364148221909994,0.189838480204344,0.0253544463776051
56,0.125,0.5,0.04,0.8,3e-06,2.5e-05,9,2.0,SAC305,SAC405,9.60209020417707,-0.0343337792728561,0.0241630570089909,0.468110938866933,0.001191132681015
57,0.125,0.25,0.04,0.8,3e-06,2e-05,3,2.0,SAC405,SAC305,11.0881872641361,-0.0348040979297365,0.0469265338033436,0.1438842527568339,0.0275649097748101
58,0.125,0.25,0.04,0.4,6e-06,2.5e-05,3,1.5,SAC305,SAC105,7.6148056021812,-0.0800980026979231,0.0522689565259497,0.401424050331116,0.0198599223804193
59,0.125,0.75,0.04,1.2,9e-06,2e-05,6,1.0,SAC205,SAC205,7.98826556676922,-0.0332789397798477,0.0436122764367609,0.182842195034027,0.0024888062980608
60,0.125,0.5,0.02,1.2,9e-06,3e-05,3,1.0,SAC305,SAC105,10.1168913406629,-0.0325141993816942,0.0188417970202862,0.332970087726911,0.018816806783434
61,0.125,0.75,0.02,0.8,3e-06,2e-05,9,2.0,SAC405,SAC205,13.2962014049517,-0.0380031848326324,0.0334296938963233,0.7448600878318069,0.0055574292491655
62,0.125,0.25,0.06,0.8,9e-06,3e-05,3,2.0,SAC205,SAC305,6.39055228098358,-0.0455527133599389,0.0525493612512945,0.33140388627847,0.0060085632139816
63,0.125,0.75,0.02,0.8,3e-06,2e-05,3,1.0,SAC105,SAC405,8.47305650119123,-0.0283908157143741,0.018195362528786,0.4324501454830169,0.0105979717918672
64,0.125,0.5,0.02,0.4,3e-06,3e-05,6,2.0,SAC405,SAC305,10.278378831296,-0.0680013535893521,0.0299900060344952,0.112222012132406,0.0042641666077542
65,0.125,0.75,0.06,0.8,3e-06,2.5e-05,6,2.0,SAC105,SAC105,4.67296236721765,-0.027074865909526,0.0609355773776769,0.304117664694786,0.0762051953934126
66,0.125,0.25,0.02,1.2,6e-06,2.5e-05,3,1.0,SAC405,SAC205,11.7777913542038,-0.0273023258778266,0.0242421432049013,0.3663619533181189,0.0028393515603966
67,0.125,0.75,0.04,0.4,3e-06,3e-05,3,2.0,SAC405,SAC405,11.9032228937092,-0.0518707862065638,0.0394473727792501,0.133608937263489,0.0274232605006546
68,0.125,0.5,0.04,0.8,9e-06,3e-05,9,2.0,SAC305,SAC105,8.6132387574998,-0.0494190829049329,0.0238037260714918,0.285563498735428,0.0030298014462459
69,0.125,0.75,0.04,0.8,9e-06,2e-05,3,2.0,SAC105,SAC405,6.41711858980323,-0.0431196982390246,0.0292080603539943,0.4479608088731771,0.0014013830368639
70,0.125,0.75,0.02,0.4,9e-06,2.5e-05,6,2.0,SAC105,SAC105,7.62766756493122,-0.0536636829492635,0.018747524532955,0.723430862029393,0.0040587369803688
71,0.125,0.75,0.04,0.8,6e-06,3e-05,6,1.0,SAC305,SAC305,9.39028551894082,-0.0380180659121833,0.0371874667471274,0.503151009480158,0.0023531920160166
72,0.125,0.5,0.02,0.8,9e-06,3e-05,6,1.0,SAC205,SAC405,8.66381696667005,-0.043930640327744,0.0299459251691587,0.4812221626440619,0.0018283597019035
73,0.125,0.75,0.04,0.8,3e-06,3e-05,9,1.0,SAC105,SAC205,6.36801709881323,-0.0261782621382735,0.0362594928592442,0.21803667396307,0.0545797869563103
74,0.125,0.75,0.02,0.8,6e-06,2.5e-05,6,1.5,SAC305,SAC105,11.5911337477715,-0.041372864274308,0.0486134225502608,0.327747486531734,0.0356741187861189
75,0.125,0.75,0.06,0.4,6e-06,2.5e-05,6,1.5,SAC105,SAC305,6.24301058841259,-0.0535274954163468,0.0440842499956488,0.182985063642264,0.0164662378374487
76,0.125,0.5,0.06,0.4,6e-06,2e-05,9,2.0,SAC205,SAC405,6.47924784736713,-0.0676422092074062,0.0596785619854926,0.24718540161848,0.0042690985137597
77,0.125,0.5,0.06,0.8,9e-06,3e-05,3,1.5,SAC405,SAC405,8.28284772090202,-0.0493769572058226,0.0454886004154103,0.1399480812251559,0.00373000233958
78,0.125,0.75,0.02,0.4,6e-06,2e-05,3,2.0,SAC105,SAC105,7.55054440321879,-0.043988677440211,0.0508017307147383,0.177666865289211,0.0132010777015239
79,0.125,0.25,0.04,0.8,9e-06,2e-05,3,1.0,SAC405,SAC205,10.1945717889547,-0.0525531828752718,0.0213453625474357,0.4138418659567831,0.0744964960031207
80,0.125,0.5,0.06,0.8,6e-06,2e-05,9,1.0,SAC105,SAC405,4.70958976560244,-0.0449395771138369,0.1982851698994631,0.156009528785944,0.0669669974595301
81,0.125,0.5,0.02,0.8,3e-06,3e-05,6,1.5,SAC105,SAC205,8.20550859145234,-0.0287445478606968,0.0258701392449438,0.129667643457651,0.0162603190401569
82,0.125,0.25,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC105,SAC205,6.53326806154856,-0.0163073627045378,0.0159518002765252,0.389991300801436,0.002852985247955
83,0.125,0.5,0.04,1.2,3e-06,3e-05,3,1.0,SAC105,SAC405,6.52277039301456,-0.0177881051204166,0.0403669904917478,0.589539997279643,0.0645458539947861
84,0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC305,SAC105,11.4066695878513,-0.0579870338260661,0.0888917930424213,0.3187854439020159,0.0139762382314075
85,0.125,0.25,0.04,1.2,3e-06,2e-05,3,1.0,SAC205,SAC205,8.64851350554336,-0.0179180536651983,0.0497691286727785,0.721273521582283,0.0491284064482893
86,0.125,0.5,0.06,0.8,3e-06,2e-05,6,2.0,SAC405,SAC105,9.09206472118345,-0.0346316012437454,0.14807467162609,0.385802179574966,0.0021071991686767
87,0.125,0.25,0.04,1.2,3e-06,3e-05,6,1.0,SAC105,SAC205,6.5333530505843,-0.0168495474499649,0.0241017822700086,0.258655924350024,0.0051625120831885
88,0.125,0.25,0.02,0.8,9e-06,2.5e-05,3,1.5,SAC305,SAC305,9.98483346456504,-0.0458007227862252,0.0455679232254624,0.292751580476761,0.007521776264184
89,0.125,0.5,0.02,0.8,3e-06,3e-05,3,1.5,SAC205,SAC105,10.1440343769913,-0.0321043059811926,0.0806546546518802,0.346331551671028,0.0060979252848482
90,0.125,0.75,0.04,0.4,9e-06,3e-05,3,1.5,SAC205,SAC405,10.6919073688283,-0.0590593408560379,0.0566467437893151,0.1910067088902,0.0200698933913373
91,0.125,0.5,0.06,0.4,9e-06,3e-05,6,1.5,SAC105,SAC105,5.28324073494293,-0.0684491930296644,0.0413999463198706,0.332695096731186,0.121184223797172
92,0.125,0.75,0.02,0.4,6e-06,2e-05,6,1.5,SAC105,SAC205,7.55057152017672,-0.0447455100365914,0.0229091751389205,0.119977287948132,0.00815047728247
93,0.125,0.75,0.06,1.2,6e-06,3e-05,3,1.5,SAC405,SAC305,8.96390822970943,-0.0261456738226114,0.0167879629880189,0.324373722076416,0.0559828169643873
94,0.125,0.5,0.04,0.8,6e-06,3e-05,9,1.0,SAC305,SAC405,8.93610433806135,-0.0422842549160122,0.029058791376883,0.238996197779973,0.0046997163444758
95,0.125,0.5,0.04,1.2,3e-06,2e-05,3,1.5,SAC205,SAC205,8.60335335233469,-0.0200895022426265,0.0117147195560391,0.082363991066814,0.0627397713251411
96,0.125,0.75,0.06,1.2,6e-06,3e-05,3,1.0,SAC205,SAC405,6.6540286218601,-0.024834748939611,0.0203675552038475,0.075484262779355,0.0252804239280522
97,0.125,0.25,0.04,0.4,6e-06,3e-05,6,1.5,SAC205,SAC305,6.81918035056178,-0.0784134909335988,0.0493425908498465,0.411758586764336,0.0014634336848757
98,0.125,0.75,0.02,0.8,3e-06,3e-05,6,1.0,SAC405,SAC305,13.2954756251519,-0.0335656835231929,0.0609716624021529,0.423429481685161,0.0012842642390751
99,0.125,0.25,0.06,1.2,3e-06,3e-05,9,1.5,SAC205,SAC305,7.09314338650684,-0.0193438903952482,0.0395137458108365,0.1962277628481389,0.0242081035394222
100,0.125,0.75,0.04,0.8,9e-06,2.5e-05,3,1.0,SAC305,SAC405,9.77085353776516,-0.0450540906167588,0.0471202624321448,0.24762262403965,0.0296522695571184
101,0.125,0.25,0.02,1.2,9e-06,2e-05,9,1.5,SAC405,SAC205,11.3565038608627,-0.0341791163373272,0.0239740942779462,0.519104654590289,0.0174636469455436
102,0.125,0.25,0.04,1.2,3e-06,2.5e-05,3,1.0,SAC305,SAC105,9.94660266702194,-0.0184811160725074,0.0321178137091919,0.345179378986359,0.0078298012376763
103,0.125,0.75,0.04,0.4,6e-06,2e-05,3,1.0,SAC205,SAC305,10.281070566579,-0.057743892277358,0.05607804027386,0.089335910975933,0.0254897119011729
104,0.125,0.25,0.06,0.4,3e-06,2e-05,6,1.0,SAC205,SAC105,5.49318459919586,-0.0662525224179262,0.0515909078822005,0.8330091933409329,0.4157054387032989
105,0.125,0.5,0.06,0.8,6e-06,2e-05,9,1.5,SAC405,SAC305,8.72901169109829,-0.0478521374461705,0.0418227221816777,0.355246998369694,0.0177335614571347
106,0.125,0.75,0.06,0.8,9e-06,2e-05,9,1.5,SAC105,SAC305,5.27722399261759,-0.043648774124449,0.0414813181268982,0.7938685615857439,0.0009176053043802
107,0.125,0.5,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC305,SAC405,9.88831704080174,-0.0203787616337649,0.0161713684210553,0.8270443181196789,0.0032637996773701
108,0.125,0.25,0.02,0.4,6e-06,2.5e-05,3,2.0,SAC105,SAC305,5.47971669669318,-0.0548656863684299,0.0212031770497559,0.0621433816850179,0.011857268284075
109,0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,2.0,SAC405,SAC105,12.5435987704073,-0.0598172698228153,0.0470778967719524,0.206845749169588,0.0419726520776749
110,0.125,0.25,0.04,1.2,6e-06,3e-05,3,1.0,SAC305,SAC205,9.57591617900103,-0.0259127374738454,0.0317568845057394,0.4142723282178169,0.1131601361557839
111,0.125,0.25,0.06,0.8,9e-06,3e-05,6,2.0,SAC305,SAC405,7.53174907221549,-0.049053089969675,0.0334864059404935,0.2263424396514889,0.0123129269341007
112,0.125,0.25,0.02,0.4,9e-06,2e-05,9,1.0,SAC105,SAC305,5.40494507688315,-0.0732761987310367,0.2023552805185313,0.439910014470418,0.001708747568955
113,0.125,0.75,0.06,0.8,6e-06,2.5e-05,3,1.0,SAC305,SAC405,7.37470050946222,-0.0372356855368706,0.0380377405381295,1.2579803367455802,0.0475046571809799
114,0.125,0.5,0.02,0.8,9e-06,2e-05,9,1.0,SAC405,SAC405,11.1120112250393,-0.0529603812028653,0.0320006512338295,0.131749346852302,0.0018791738548316
115,0.125,0.75,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,SAC305,10.9199864734803,-0.0279405354522167,0.0509545565582811,0.367505230009556,0.0032047921558841
116,0.125,0.5,0.02,1.2,3e-06,2.5e-05,6,1.0,SAC205,SAC305,10.3605248412664,-0.0199948498047887,0.0197243291768244,0.6363000373045581,0.0014242484751321
117,0.125,0.75,0.04,0.8,6e-06,2e-05,6,1.0,SAC105,SAC305,6.40905193695864,-0.0364463467558379,0.1265326850116251,0.5089742938677471,0.00410889313207
118,0.125,0.75,0.02,0.8,9e-06,3e-05,9,1.5,SAC105,SAC105,7.33754943358256,-0.0388869171147233,0.0925917290151119,0.61086577177047,0.0156452420633287
119,0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC405,SAC405,10.5613977969296,-0.0331893052789382,0.0416884403675794,0.3972850739955899,0.0091982677113264
120,0.125,0.75,0.04,1.2,6e-06,2.5e-05,9,2.0,SAC105,SAC105,6.07108328210001,-0.026833712181542,0.034897856414318,0.284586802124977,0.0107952202961314
121,0.125,0.75,0.06,1.2,3e-06,2.5e-05,3,2.0,SAC305,SAC205,8.06557586479811,-0.0187593899609054,0.0186304558301343,0.247228436172008,0.0289239556295798
122,0.125,0.75,0.02,1.2,6e-06,3e-05,6,2.0,SAC105,SAC205,7.56905363600492,-0.0251493614632635,0.0873171836137771,0.185953855514526,0.0676104496233157
123,0.125,0.5,0.02,1.2,3e-06,3e-05,6,2.0,SAC305,SAC305,11.5903858665082,-0.0201056262594647,0.0615608384832739,0.093891452997923,0.0138786570751108
124,0.125,0.75,0.06,1.2,9e-06,2e-05,6,1.5,SAC305,SAC305,7.41739256591489,-0.0345342604268807,0.0428934916853904,0.967262446880332,0.0260855781380087
125,0.125,0.75,0.06,1.2,6e-06,2e-05,6,1.0,SAC205,SAC205,6.65387142536616,-0.0265828442643395,0.045495583617594,0.263358548283577,0.0028262859232199
126,0.125,0.25,0.02,1.2,6e-06,3e-05,9,2.0,SAC305,SAC405,10.3784099547726,-0.0297718013753182,0.0306291384622454,0.38204538077116,0.0083498448948376
127,0.125,0.75,0.06,0.8,6e-06,2e-05,3,1.5,SAC205,SAC205,6.43255395751093,-0.0371922269696369,0.0196766649023629,0.32144695520401,0.001266628920348
128,0.125,0.5,0.06,0.4,9e-06,3e-05,6,1.0,SAC305,SAC205,7.67817248565467,-0.075525654858211,0.0451423985650762,0.505161677797635,0.0030903317601769
129,0.125,0.25,0.02,1.2,9e-06,2e-05,6,2.0,SAC405,SAC405,11.3563564249805,-0.0368290626211091,0.0867621935904024,0.193577215075493,0.0024833566749293
130,0.125,0.5,0.06,1.2,6e-06,2e-05,9,1.5,SAC405,SAC105,9.07444351582074,-0.0332079149084165,0.1110290549695491,0.4364661226669951,0.0225808129180222
131,0.125,0.25,0.04,0.4,9e-06,2.5e-05,6,1.0,SAC205,SAC405,7.20840680165624,-0.0837329153437166,0.0729515895654912,0.71742435296376,0.0049834501114674
132,0.125,0.5,0.04,0.4,9e-06,2e-05,6,1.0,SAC105,SAC205,6.51111346965207,-0.0730486960674169,0.0523011781042441,0.133743301033973,0.0629771514795712
133,0.125,0.25,0.06,0.8,9e-06,2.5e-05,6,2.0,SAC305,SAC405,7.53182068460166,-0.0476831097184912,0.0212998311035334,0.483179926872254,0.0024739694345044
134,0.125,0.5,0.04,1.2,3e-06,2.5e-05,6,1.5,SAC405,SAC305,11.2348121523195,-0.0218532151193357,0.0622541476041077,0.367590342958768,0.0134802651591599
135,0.125,0.5,0.04,1.2,3e-06,2e-05,9,2.0,SAC305,SAC305,9.88825980664144,-0.0232794707699213,0.0336609680671244,0.220808509737253,0.0097415547061246
136,0.125,0.25,0.02,0.4,9e-06,3e-05,9,1.0,SAC105,SAC105,5.40482554647493,-0.0698511951195541,0.0401615676528308,0.279075387865305,0.0096574829221936
137,0.125,0.5,0.02,1.2,9e-06,2e-05,6,1.5,SAC305,SAC205,10.1167017062612,-0.0347134994226507,0.0288200996583327,0.443558419744174,0.0095248169236583
138,0.125,0.75,0.04,0.4,6e-06,2e-05,6,1.5,SAC105,SAC305,7.70702420384503,-0.0537712100485804,0.0350603950209914,0.381940096616745,0.0013032051938353
139,0.125,0.25,0.06,0.8,9e-06,2.5e-05,6,1.0,SAC305,SAC105,7.53158109064659,-0.0477032851777038,0.0304250060435151,0.315769508481026,0.0152807416161522
140,0.125,0.5,0.06,0.4,9e-06,2e-05,3,2.0,SAC105,SAC205,5.28314556701987,-0.0695047848857939,0.018206782726338,0.484721451997757,0.209552859887481
141,0.125,0.25,0.04,1.2,9e-06,3e-05,6,1.0,SAC405,SAC405,10.5617489584263,-0.0332615556253585,0.0273629755247383,0.095025558024645,0.0401562876068053
142,0.125,0.5,0.02,0.4,3e-06,2.5e-05,6,1.0,SAC405,SAC205,10.2785280133578,-0.0668613170855678,0.0405991610023192,0.216431774199009,0.0029524873025366
143,0.125,0.5,0.06,1.2,6e-06,2.5e-05,6,1.0,SAC105,SAC305,4.9027984470914,-0.027249446226051,0.0999973490834235,0.2077317386865609,0.0130038737552239
144,0.125,0.5,0.06,1.2,6e-06,3e-05,6,1.5,SAC205,SAC305,6.77049137730778,-0.0270825293846427,0.0531367585062979,0.262504644691944,0.0060697455191983
145,0.125,0.5,0.06,1.2,6e-06,2.5e-05,9,2.0,SAC405,SAC305,9.07443656205765,-0.028305078682024,0.0297318881493992,0.568784132599822,0.0777118252590299
146,0.125,0.75,0.02,0.4,9e-06,2e-05,9,2.0,SAC205,SAC405,10.7351037756131,-0.0597651276621035,0.0840074643492697,0.5841924200455331,0.0029457771452143
147,0.125,0.5,0.06,0.4,6e-06,2.5e-05,6,1.0,SAC105,SAC105,5.09415896559916,-0.0621424224227665,0.0473972810432314,0.2821426391601569,0.0492946575395763
148,0.125,0.5,0.02,0.8,9e-06,3e-05,3,2.0,SAC205,SAC105,8.66370007507951,-0.0442413708660751,0.0279838282731361,0.2643317580223079,0.0308762301574461
149,0.125,0.75,0.06,0.4,6e-06,3e-05,3,1.0,SAC205,SAC205,8.15629194435832,-0.0525336673599667,0.0473408412653952,0.302879065275192,0.006379057187587
150,0.125,0.5,0.04,0.8,9e-06,2.5e-05,3,1.5,SAC405,SAC305,9.54701694812455,-0.0525968981964978,0.0471305756946094,0.4502104520797729,0.0032618109835311
151,0.125,0.75,0.04,1.2,9e-06,2e-05,9,2.0,SAC305,SAC405,9.18920169438264,-0.0341242317517752,0.0341356637654825,0.3876715799172719,0.0070996927097439
152,0.125,0.25,0.06,1.2,9e-06,2.5e-05,6,1.5,SAC205,SAC305,6.55627645163626,-0.0312587187218013,0.0163385156192816,0.270460434257985,0.012579065747559
153,0.125,0.25,0.04,0.8,3e-06,3e-05,9,1.5,SAC205,SAC405,8.52366955299558,-0.0350081938668153,0.023772018845193,0.161261130124331,0.0095426441403105
154,0.125,0.75,0.04,0.4,6e-06,2.5e-05,6,1.0,SAC205,SAC205,10.2813146888127,-0.0567041398317087,0.0438008799683302,0.446008483568827,0.0424088416621088
