Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,Design_ID,BGA solder material,DeltaW_BGA,DeltaW_bump
0.5,0.06,0.4,6e-06,2e-05,9,2.0,SAC205,6.47924784736713,-0.06764220920740623,0.059678561985492616,76,SAC405,0.0042690985137597,0.24718540161848
0.5,0.06,0.8,9e-06,3e-05,3,1.5,SAC405,8.28284772090202,-0.049376957205822684,0.045488600415410384,77,SAC405,0.0037300023395800287,0.13994808122515598
0.75,0.02,0.4,6e-06,2e-05,3,2.0,SAC105,7.55054440321879,-0.04398867744021109,0.0508017307147383,78,SAC105,0.0132010777015239,0.177666865289211
0.25,0.04,0.8,9e-06,2e-05,3,1.0,SAC405,10.1945717889547,-0.05255318287527186,0.021345362547435767,79,SAC205,0.07449649600312071,0.4138418659567831
0.5,0.06,0.8,6e-06,2e-05,9,1.0,SAC105,4.70958976560244,-0.044939577113836976,0.1982851698994631,80,SAC405,0.0669669974595301,0.15600952878594404
0.5,0.02,0.8,3e-06,3e-05,6,1.5,SAC105,8.20550859145234,-0.028744547860696842,0.02587013924494385,81,SAC205,0.0162603190401569,0.129667643457651
0.25,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC105,6.53326806154856,-0.01630736270453781,0.01595180027652525,82,SAC205,0.0028529852479550703,0.389991300801436
0.5,0.04,1.2,3e-06,3e-05,3,1.0,SAC105,6.52277039301456,-0.017788105120416686,0.0403669904917478,83,SAC405,0.06454585399478618,0.589539997279643
0.75,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC305,11.4066695878513,-0.05798703382606615,0.0888917930424213,84,SAC105,0.013976238231407501,0.31878544390201596
0.25,0.04,1.2,3e-06,2e-05,3,1.0,SAC205,8.64851350554336,-0.017918053665198365,0.049769128672778544,85,SAC205,0.0491284064482893,0.721273521582283
0.5,0.06,0.8,3e-06,2e-05,6,2.0,SAC405,9.09206472118345,-0.034631601243745494,0.14807467162609,86,SAC105,0.0021071991686767502,0.385802179574966
0.25,0.04,1.2,3e-06,3e-05,6,1.0,SAC105,6.5333530505843,-0.016849547449964964,0.02410178227000861,87,SAC205,0.005162512083188591,0.258655924350024
0.25,0.02,0.8,9e-06,2.5e-05,3,1.5,SAC305,9.98483346456504,-0.04580072278622529,0.045567923225462416,88,SAC305,0.007521776264184099,0.29275158047676103
0.5,0.02,0.8,3e-06,3e-05,3,1.5,SAC205,10.1440343769913,-0.03210430598119264,0.0806546546518802,89,SAC105,0.00609792528484825,0.346331551671028
0.75,0.04,0.4,9e-06,3e-05,3,1.5,SAC205,10.6919073688283,-0.05905934085603796,0.0566467437893151,90,SAC405,0.0200698933913373,0.19100670889020002
0.5,0.06,0.4,9e-06,3e-05,6,1.5,SAC105,5.28324073494293,-0.06844919302966444,0.04139994631987062,91,SAC105,0.121184223797172,0.332695096731186
0.75,0.02,0.4,6e-06,2e-05,6,1.5,SAC105,7.55057152017672,-0.044745510036591406,0.022909175138920518,92,SAC205,0.008150477282470012,0.119977287948132
0.75,0.06,1.2,6e-06,3e-05,3,1.5,SAC405,8.96390822970943,-0.026145673822611477,0.01678796298801893,93,SAC305,0.0559828169643873,0.324373722076416
0.5,0.04,0.8,6e-06,3e-05,9,1.0,SAC305,8.93610433806135,-0.04228425491601221,0.029058791376883084,94,SAC405,0.0046997163444758,0.238996197779973
0.5,0.04,1.2,3e-06,2e-05,3,1.5,SAC205,8.60335335233469,-0.020089502242626546,0.011714719556039182,95,SAC205,0.06273977132514111,0.082363991066814
0.75,0.06,1.2,6e-06,3e-05,3,1.0,SAC205,6.6540286218601,-0.02483474893961101,0.020367555203847556,96,SAC405,0.0252804239280522,0.07548426277935502
0.25,0.04,0.4,6e-06,3e-05,6,1.5,SAC205,6.81918035056178,-0.07841349093359888,0.04934259084984653,97,SAC305,0.0014634336848757794,0.411758586764336
0.75,0.02,0.8,3e-06,3e-05,6,1.0,SAC405,13.2954756251519,-0.03356568352319299,0.060971662402152904,98,SAC305,0.0012842642390751297,0.42342948168516104
0.25,0.06,1.2,3e-06,3e-05,9,1.5,SAC205,7.09314338650684,-0.019343890395248246,0.039513745810836554,99,SAC305,0.024208103539422203,0.19622776284813898
0.75,0.04,0.8,9e-06,2.5e-05,3,1.0,SAC305,9.77085353776516,-0.045054090616758885,0.04712026243214487,100,SAC405,0.029652269557118402,0.24762262403965002
0.25,0.02,1.2,9e-06,2e-05,9,1.5,SAC405,11.3565038608627,-0.03417911633732725,0.023974094277946213,101,SAC205,0.0174636469455436,0.519104654590289
0.25,0.04,1.2,3e-06,2.5e-05,3,1.0,SAC305,9.94660266702194,-0.018481116072507492,0.0321178137091919,102,SAC105,0.0078298012376763,0.345179378986359
0.75,0.04,0.4,6e-06,2e-05,3,1.0,SAC205,10.281070566579,-0.05774389227735802,0.05607804027386009,103,SAC305,0.025489711901172996,0.08933591097593302
0.25,0.06,0.4,3e-06,2e-05,6,1.0,SAC205,5.49318459919586,-0.06625252241792623,0.05159090788220054,104,SAC105,0.41570543870329896,0.8330091933409329
0.5,0.06,0.8,6e-06,2e-05,9,1.5,SAC405,8.72901169109829,-0.04785213744617059,0.04182272218167776,105,SAC305,0.0177335614571347,0.35524699836969403
0.75,0.06,0.8,9e-06,2e-05,9,1.5,SAC105,5.27722399261759,-0.04364877412444908,0.041481318126898224,106,SAC305,0.0009176053043802304,0.7938685615857439
0.5,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC305,9.88831704080174,-0.020378761633764914,0.01617136842105532,107,SAC405,0.0032637996773701205,0.8270443181196789
0.25,0.02,0.4,6e-06,2.5e-05,3,2.0,SAC105,5.47971669669318,-0.05486568636842999,0.02120317704975599,108,SAC305,0.011857268284075,0.062143381685017984
0.75,0.04,0.4,6e-06,2.5e-05,6,2.0,SAC405,12.5435987704073,-0.059817269822815385,0.04707789677195244,109,SAC105,0.0419726520776749,0.206845749169588
0.25,0.04,1.2,6e-06,3e-05,3,1.0,SAC305,9.57591617900103,-0.025912737473845465,0.03175688450573942,110,SAC205,0.11316013615578399,0.4142723282178169
0.25,0.06,0.8,9e-06,3e-05,6,2.0,SAC305,7.53174907221549,-0.049053089969675,0.033486405940493506,111,SAC405,0.012312926934100705,0.22634243965148898
0.25,0.02,0.4,9e-06,2e-05,9,1.0,SAC105,5.40494507688315,-0.07327619873103679,0.2023552805185313,112,SAC305,0.0017087475689550003,0.439910014470418
0.75,0.06,0.8,6e-06,2.5e-05,3,1.0,SAC305,7.37470050946222,-0.03723568553687064,0.03803774053812952,113,SAC405,0.0475046571809799,1.2579803367455802
