RadViz_X,RadViz_Y,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,BGA solder material,Obj_ELK stress,Obj_Warpage Post UF cure,Obj_Warpage post lid attach,Obj_DeltaW_BGA,Obj_DeltaW_bump
0.08750822319904762,-0.29134896824141976,0.25,0.06,1.2,6e-06,2e-05,9.0,2.0,SAC105,SAC105,5.13698130429822,-0.02797223635365688,0.08606272681382876,0.04845744152196875,0.0666724705158207
0.08264011937995357,-0.20065837120524468,0.25,0.06,0.4,3e-06,2.5e-05,9.0,1.0,SAC405,SAC405,7.466084675871498,-0.07136116244713514,0.13933008094118382,0.0,0.1402646231402269
-0.04024329631911276,-0.3541407977865149,0.25,0.06,0.8,3e-06,2e-05,9.0,1.5,SAC405,SAC305,9.211352532522353,-0.036610724691790004,0.1084697624682528,0.01701702224968584,0.03622032130184072
0.0017172062830838677,-0.18254368097850318,0.25,0.04,1.2,3e-06,2.5e-05,9.0,1.5,SAC105,SAC105,6.529385586061797,-0.01835782601097584,0.01649402271706648,0.12077743138064524,0.0857636581996094
0.14000349923160194,-0.12435541200352883,0.25,0.06,1.2,3e-06,2.5e-05,3.0,2.0,SAC105,SAC105,5.326177857444341,-0.017177919379001004,0.016042751434062884,0.18675047952549284,0.10993408942414828
0.0008521141595326233,-0.16125897745335296,0.25,0.06,0.8,9e-06,2e-05,9.0,1.5,SAC105,SAC105,4.969823011120465,-0.04693977105136655,0.053585730095915406,0.006163736904807187,0.14755618896695313
-0.2699793734007102,-0.09261228858718643,0.75,0.02,0.8,9e-06,2e-05,3.0,2.0,SAC205,SAC105,9.836989024930226,-0.040361705822917864,0.004617819612632225,0.0,0.3750827903024143
0.09522640356931615,0.07193072628003284,0.25,0.04,0.4,3e-06,2.5e-05,3.0,2.0,SAC105,SAC105,5.249808806802499,-0.06022574404569761,0.012730768655153678,0.14362319685529976,0.28282261491423666
-0.20657679368043033,-0.04427473343717549,0.75,0.02,0.4,3e-06,2e-05,3.0,2.0,SAC105,SAC405,7.9976175384780035,-0.044009342044344,0.010643736611401798,0.0,0.5197888286221233
-0.1616301801879819,0.10065398142422437,0.25,0.02,0.4,9e-06,2.5e-05,3.0,2.0,SAC405,SAC205,10.206978208761656,-0.08552381819804451,0.04067958557443733,0.017620991895611747,0.5580786239950655
-0.27056985310621484,-0.09562158861235096,0.75,0.04,0.4,6e-06,2e-05,3.0,2.0,SAC405,SAC405,12.579629895084013,-0.06107567371650052,0.03947532748217039,0.002827462506677071,0.23808561775046902
