Sol_Index,Obj_DeltaW_BGA_x,Obj_DeltaW_bump_x,Obj_ELK_stress_x,Obj_Warpage_Post_UF_cure_x,Obj_Warpage_post_lid_atach_x,NetFlow_Score,NetFlow_Rank,RadViz_X,RadViz_Y,Obj_DeltaW_BGA_y,Obj_DeltaW_bump_y,Obj_ELK_stress_y,Obj_Warpage_Post_UF_cure_y,Obj_Warpage_post_lid_atach_y,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
93,0.026730148121714592,0.0,5.051534175872803,-0.01836363971233368,0.05445782467722893,75.6000000000003,72,-0.017385547565804203,0.3593029882941089,0.026730148121714592,0.0,5.051534175872803,-0.01836363971233368,0.05445782467722893,0.75,0.06,0.125,3.0,1.5,3e-06,1.2,2e-05,1.0,SAC405,SAC105,SAC405
297,0.005939045920968056,0.03198282793164253,8.911727905273438,-0.027779944241046906,0.03673338517546654,75.55000000000035,73,0.36135993935027655,0.09629136364871588,0.005939045920968056,0.03198282793164253,8.911727905273438,-0.027779944241046906,0.03673338517546654,0.25,0.06,0.125,3.0,2.0,6e-06,1.2,2e-05,1.0,SAC205,SAC405,SAC405
329,0.003985896240919828,0.24179643392562866,8.3129301071167,-0.0861750990152359,0.06967926025390625,74.40000000000003,74,0.03665010579028206,-0.11290849746555619,0.003985896240919828,0.24179643392562866,8.3129301071167,-0.0861750990152359,0.06967926025390625,0.25,0.04,0.125,9.0,1.0,9e-06,0.4,2.5e-05,1.0,SAC105,SAC305,SAC405
63,0.0075342790223658085,0.015226848423480988,8.654796600341797,-0.07060743868350983,0.08000948280096054,73.3500000000002,75,0.1169087803759223,0.11448262387729573,0.0075342790223658085,0.015226848423480988,8.654796600341797,-0.07060743868350983,0.08000948280096054,0.25,0.06,0.125,6.0,2.0,3e-06,0.4,2e-05,1.0,SAC405,SAC405,SAC405
245,0.0075342790223658085,0.015226848423480988,8.654796600341797,-0.07060743868350983,0.08000948280096054,73.3500000000002,76,0.1169087803759223,0.11448262387729573,0.0075342790223658085,0.015226848423480988,8.654796600341797,-0.07060743868350983,0.08000948280096054,0.25,0.06,0.125,6.0,2.0,3e-06,0.4,2e-05,1.0,SAC405,SAC405,SAC405
448,0.012268462218344212,0.01309508178383112,8.136183738708496,-0.032226622104644775,0.031530287116765976,73.10000000000008,77,0.24170405468911182,0.10666656240402053,0.012268462218344212,0.01309508178383112,8.136183738708496,-0.032226622104644775,0.031530287116765976,0.5,0.06,0.125,3.0,2.0,3e-06,0.8,2e-05,1.0,SAC405,SAC305,SAC405
37,0.004541327711194754,0.1173022985458374,9.152177810668945,-0.08663614094257355,0.09706160426139832,72.75000000000011,78,0.07474976626615165,0.02953965215201075,0.004541327711194754,0.1173022985458374,9.152177810668945,-0.08663614094257355,0.09706160426139832,0.25,0.06,0.125,9.0,1.0,9e-06,0.4,2e-05,1.0,SAC305,SAC405,SAC305
457,0.009370716288685799,0.2390412837266922,7.0929765701293945,-0.08360307663679123,0.06070585548877716,72.65000000000032,79,-0.052385355437351934,-0.08684576941611173,0.009370716288685799,0.2390412837266922,7.0929765701293945,-0.08360307663679123,0.06070585548877716,0.25,0.04,0.125,6.0,2.0,9e-06,0.4,2.5e-05,1.0,SAC205,SAC205,SAC405
412,0.0006690554437227547,0.3638177812099457,8.809006690979004,-0.047809015959501266,0.009024419821798801,72.50000000000011,80,0.28433848335517076,-0.314304920598999,0.0006690554437227547,0.3638177812099457,8.809006690979004,-0.047809015959501266,0.009024419821798801,0.25,0.04,0.125,9.0,2.0,9e-06,0.8,3e-05,1.5,SAC105,SAC305,SAC105
55,0.021998565644025803,0.0049477978609502316,5.051534175872803,-0.01836363971233368,0.05445782467722893,72.45000000000033,81,0.0342195710371695,0.338067011767595,0.021998565644025803,0.0049477978609502316,5.051534175872803,-0.01836363971233368,0.05445782467722893,0.75,0.06,0.125,3.0,1.5,3e-06,1.2,2e-05,1.0,SAC405,SAC105,SAC305
